Genes,pathway
speA,putrescine biosynthesis I
speE,spermidine biosynthesis I
speE,superpathway of arginine and polyamine biosynthesis
speE,superpathway of polyamine biosynthesis I
speE,aminopropylcadaverine biosynthesis
speB,superpathway of L-arginine and L-ornithine degradation
speB,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"
speB,superpathway of arginine and polyamine biosynthesis
speB,superpathway of polyamine biosynthesis I
speB,L-arginine degradation III (arginine decarboxylase/agmatinase pathway)
speB,putrescine biosynthesis I
nanK,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation"
nanK,N-acetylneuraminate and N-acetylmannosamine degradation I
nanE,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation"
nanE,N-acetylneuraminate and N-acetylmannosamine degradation I
nagA,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation"
nagA,N-acetylglucosamine degradation I
nagA,anhydromuropeptides recycling I
nanA,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation"
nanA,N-acetylneuraminate and N-acetylmannosamine degradation I
yfbH,polymyxin resistance
nagB,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation"
nagB,N-acetylglucosamine degradation I
ygdH,adenosine nucleotides degradation III
ushA,adenosine nucleotides degradation II
ygfG,conversion of succinate to propanoate
mqo,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
mqo,superpathway of glyoxylate bypass and TCA
mqo,TCA cycle I (prokaryotic)
sgbH,"L-ascorbate degradation II (bacterial, aerobic)"
yliK,conversion of succinate to propanoate
yliK,propanoyl CoA degradation I
pntB,NAD phosphorylation and dephosphorylation
citE,citrate degradation
citE,citrate lyase activation
ulaF,"L-ascorbate degradation I (bacterial, anaerobic)"
ygfH,conversion of succinate to propanoate
yidA,glucose and glucose-1-phosphate degradation
trxB,thioredoxin pathway
pspE,thiosulfate disproportionation IV (rhodanese)
folX,tetrahydromonapterin biosynthesis
ycjG,muropeptide degradation
pntA,NAD phosphorylation and dephosphorylation
citF,citrate degradation
citF,citrate lyase activation
ulaE,"L-ascorbate degradation I (bacterial, anaerobic)"
glgB,glycogen biosynthesis I (from ADP-D-Glucose)
glgC,glycogen biosynthesis I (from ADP-D-Glucose)
glgA,glycogen biosynthesis I (from ADP-D-Glucose)
mrcB,peptidoglycan maturation (meso-diaminopimelate containing)
ddlB,peptidoglycan biosynthesis I (meso-diaminopimelate containing)
ddlB,UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)
dacB,peptidoglycan maturation (meso-diaminopimelate containing)
spr,muropeptide degradation
spr,anhydromuropeptides recycling I
murE,peptidoglycan biosynthesis I (meso-diaminopimelate containing)
murE,UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)
mrdA,peptidoglycan maturation (meso-diaminopimelate containing)
murA,peptidoglycan biosynthesis I (meso-diaminopimelate containing)
murA,anhydromuropeptides recycling I
murA,UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)
murI,peptidoglycan biosynthesis I (meso-diaminopimelate containing)
murI,UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)
ftsI,peptidoglycan maturation (meso-diaminopimelate containing)
mtgA,peptidoglycan maturation (meso-diaminopimelate containing)
ybjG,polyisoprenoid biosynthesis (E. coli)
ybjG,"di-trans,poly-cis-undecaprenyl phosphate biosynthesis"
mrcA,peptidoglycan maturation (meso-diaminopimelate containing)
dacC,peptidoglycan maturation (meso-diaminopimelate containing)
pbpC,peptidoglycan maturation (meso-diaminopimelate containing)
murF,peptidoglycan biosynthesis I (meso-diaminopimelate containing)
murF,UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)
murC,peptidoglycan biosynthesis I (meso-diaminopimelate containing)
murC,UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)
mraY,peptidoglycan biosynthesis I (meso-diaminopimelate containing)
murB,peptidoglycan biosynthesis I (meso-diaminopimelate containing)
murB,anhydromuropeptides recycling I
murB,UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)
ddlA,peptidoglycan biosynthesis I (meso-diaminopimelate containing)
ddlA,UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)
ispU,polyisoprenoid biosynthesis (E. coli)
uppS,polyisoprenoid biosynthesis (E. coli)
ispU,"di-trans,poly-cis-undecaprenyl phosphate biosynthesis"
uppS,"di-trans,poly-cis-undecaprenyl phosphate biosynthesis"
murG,peptidoglycan biosynthesis I (meso-diaminopimelate containing)
dacA,peptidoglycan maturation (meso-diaminopimelate containing)
dacD,peptidoglycan maturation (meso-diaminopimelate containing)
murD,peptidoglycan biosynthesis I (meso-diaminopimelate containing)
murD,UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)
rffT,enterobacterial common antigen biosynthesis
rffM,enterobacterial common antigen biosynthesis
rffE,enterobacterial common antigen biosynthesis
rffE,UDP-N-acetyl-&alpha;-D-mannosaminouronate biosynthesis
rfe,enterobacterial common antigen biosynthesis
rffA,enterobacterial common antigen biosynthesis
rffA,dTDP-N-acetylthomosamine biosynthesis
rffD,enterobacterial common antigen biosynthesis
rffD,UDP-N-acetyl-&alpha;-D-mannosaminouronate biosynthesis
ddg,superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis
yfbF,polymyxin resistance
lpxB,superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis
lpxB,superpathway of lipopolysaccharide biosynthesis
lpxB,lipid IV<sub>A</sub> biosynthesis (E. coli)
lpxL,superpathway of lipopolysaccharide biosynthesis
lpxL,superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis
lpxL,(Kdo)<sub>2</sub>-lipid A biosynthesis I (E. coli)
yfbG,polymyxin resistance
lpxH,superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis
lpxH,superpathway of lipopolysaccharide biosynthesis
lpxH,lipid IV<sub>A</sub> biosynthesis (E. coli)
lpxM,superpathway of lipopolysaccharide biosynthesis
lpxM,(Kdo)<sub>2</sub>-lipid A biosynthesis I (E. coli)
lpxM,superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis
lpxC,superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis
lpxC,superpathway of lipopolysaccharide biosynthesis
lpxC,lipid IV<sub>A</sub> biosynthesis (E. coli)
arnT,polymyxin resistance
yfbE,polymyxin resistance
lpxA,superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis
lpxA,superpathway of lipopolysaccharide biosynthesis
lpxA,lipid IV<sub>A</sub> biosynthesis (E. coli)
lpxD,superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis
lpxD,superpathway of lipopolysaccharide biosynthesis
lpxD,lipid IV<sub>A</sub> biosynthesis (E. coli)
rfaE,ADP-L-glycero-&beta;-D-manno-heptose biosynthesis
kdsB,superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis
kdsB,superpathway of lipopolysaccharide biosynthesis
kdsB,CMP-3-deoxy-D-manno-octulosonate biosynthesis
lpxK,superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis
lpxK,superpathway of lipopolysaccharide biosynthesis
lpxK,lipid IV<sub>A</sub> biosynthesis (E. coli)
rfaP,superpathway of lipopolysaccharide biosynthesis
rfaP,lipid A-core biosynthesis (E. coli K-12)
kdsD,superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis
kdsD,superpathway of lipopolysaccharide biosynthesis
kdsD,CMP-3-deoxy-D-manno-octulosonate biosynthesis
gutQ,superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis
gutQ,superpathway of lipopolysaccharide biosynthesis
gutQ,CMP-3-deoxy-D-manno-octulosonate biosynthesis
lpcA,ADP-L-glycero-&beta;-D-manno-heptose biosynthesis
kdtA,superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis
kdtA,superpathway of lipopolysaccharide biosynthesis
kdtA,Kdo transfer to lipid IV<sub>A</sub> I (E. coli)
gmhB,ADP-L-glycero-&beta;-D-manno-heptose biosynthesis
rfaK,superpathway of lipopolysaccharide biosynthesis
rfaK,lipid A-core biosynthesis (E. coli K-12)
rfaQ,superpathway of lipopolysaccharide biosynthesis
rfaQ,lipid A-core biosynthesis (E. coli K-12)
rfaC,superpathway of lipopolysaccharide biosynthesis
rfaC,lipid A-core biosynthesis (E. coli K-12)
rfaD,ADP-L-glycero-&beta;-D-manno-heptose biosynthesis
rfaF,superpathway of lipopolysaccharide biosynthesis
rfaF,lipid A-core biosynthesis (E. coli K-12)
kdsA,superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis
kdsA,superpathway of lipopolysaccharide biosynthesis
kdsA,CMP-3-deoxy-D-manno-octulosonate biosynthesis
rfaY,superpathway of lipopolysaccharide biosynthesis
rfaY,lipid A-core biosynthesis (E. coli K-12)
rfaG,superpathway of lipopolysaccharide biosynthesis
rfaG,lipid A-core biosynthesis (E. coli K-12)
rfbC,O-antigen building blocks biosynthesis (E. coli)
rfbC,dTDP-L-rhamnose biosynthesis
rffH,O-antigen building blocks biosynthesis (E. coli)
rffH,enterobacterial common antigen biosynthesis
rffH,dTDP-L-rhamnose biosynthesis
rffH,dTDP-N-acetylthomosamine biosynthesis
glmS,O-antigen building blocks biosynthesis (E. coli)
glmS,UDP-N-acetyl-D-glucosamine biosynthesis I
glmM,O-antigen building blocks biosynthesis (E. coli)
glmM,UDP-N-acetyl-D-glucosamine biosynthesis I
glmM,anhydromuropeptides recycling I
glmU,O-antigen building blocks biosynthesis (E. coli)
glmU,UDP-N-acetyl-D-glucosamine biosynthesis I
glmU,anhydromuropeptides recycling I
rfbD,O-antigen building blocks biosynthesis (E. coli)
rfbD,dTDP-L-rhamnose biosynthesis
glf,O-antigen building blocks biosynthesis (E. coli)
rfbA,O-antigen building blocks biosynthesis (E. coli)
rfbA,enterobacterial common antigen biosynthesis
rfbA,dTDP-L-rhamnose biosynthesis
rfbA,dTDP-N-acetylthomosamine biosynthesis
rcsB,Rcs Signal Transduction System
cpsG,colanic acid building blocks biosynthesis
cpsG,GDP-mannose biosynthesis
ugd,colanic acid building blocks biosynthesis
ugd,UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)
fcl,colanic acid building blocks biosynthesis
fcl,GDP-L-fucose biosynthesis I (from GDP-D-mannose)
citD,citrate degradation
citD,citrate lyase activation
yajB,acyl carrier protein metabolism
acpP,fatty acid biosynthesis initiation (bacteria and plants)
acpP,(5Z)-dodecenoate biosynthesis I
acpP,lipoate biosynthesis and incorporation I
acpP,palmitate biosynthesis II (bacteria and plant cytoplasm)
acpP,fatty acid elongation -- saturated
acpP,fatty acid biosynthesis initiation III
acpP,fatty acid biosynthesis initiation II
acpP,cis-vaccenate biosynthesis
acpP,palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)
acpP,8-amino-7-oxononanoate biosynthesis I
acpP,lipid IV<sub>A</sub> biosynthesis (E. coli)
acpP,(Kdo)<sub>2</sub>-lipid A biosynthesis I (E. coli)
acpP,superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis
acpP,CDP-diacylglycerol biosynthesis II
acpP,acyl carrier protein metabolism
grxA,arsenate detoxification II (glutaredoxin)
grxA,L-cysteine biosynthesis VII (from S-sulfo-L-cysteine)
grxA,glutathione-glutaredoxin redox reactions
grxC,arsenate detoxification II (glutaredoxin)
grxC,glutathione-glutaredoxin redox reactions
grxC,L-cysteine biosynthesis VII (from S-sulfo-L-cysteine)
trxA,adenosine deoxyribonucleotides de novo biosynthesis II
trxA,assimilatory sulfate reduction I
trxA,guanosine deoxyribonucleotides de novo biosynthesis II
trxA,pyrimidine deoxyribonucleotides de novo biosynthesis I
trxA,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)
trxA,thioredoxin pathway
grxB,arsenate detoxification II (glutaredoxin)
grxB,glutathione-glutaredoxin redox reactions
grxB,L-cysteine biosynthesis VII (from S-sulfo-L-cysteine)
trxC,adenosine deoxyribonucleotides de novo biosynthesis II
trxC,assimilatory sulfate reduction I
trxC,guanosine deoxyribonucleotides de novo biosynthesis II
trxC,pyrimidine deoxyribonucleotides de novo biosynthesis I
trxC,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)
trxC,thioredoxin pathway
nrdH,arsenate detoxification II (glutaredoxin)
nrdH,guanosine deoxyribonucleotides de novo biosynthesis II
nrdH,adenosine deoxyribonucleotides de novo biosynthesis II
nrdH,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)
nrdH,L-cysteine biosynthesis VII (from S-sulfo-L-cysteine)
nrdH,glutathione-glutaredoxin redox reactions
dipZ,periplasmic disulfide bond reduction
lnt,lipoprotein posttranslational modification
ymdC,superpathway of phospholipid biosynthesis I (bacteria)
ymdC,cardiolipin biosynthesis III
pgpA,superpathway of phospholipid biosynthesis I (bacteria)
pgpA,cardiolipin biosynthesis III
pgpA,cardiolipin biosynthesis I
cls,superpathway of phospholipid biosynthesis I (bacteria)
cls,cardiolipin biosynthesis I
psd,superpathway of phospholipid biosynthesis I (bacteria)
psd,phosphatidylserine and phosphatidylethanolamine biosynthesis I
pgpB,superpathway of phospholipid biosynthesis I (bacteria)
pgpB,cardiolipin biosynthesis III
pgpB,cardiolipin biosynthesis I
pgpB,polyisoprenoid biosynthesis (E. coli)
pgpB,"di-trans,poly-cis-undecaprenyl phosphate biosynthesis"
pssA,superpathway of phospholipid biosynthesis I (bacteria)
pssA,phosphatidylserine and phosphatidylethanolamine biosynthesis I
pgsA,superpathway of phospholipid biosynthesis I (bacteria)
pgsA,cardiolipin biosynthesis III
pgsA,cardiolipin biosynthesis I
ybhO,superpathway of phospholipid biosynthesis I (bacteria)
ybhO,cardiolipin biosynthesis I
lgt,lipoprotein posttranslational modification
yfhB,superpathway of phospholipid biosynthesis I (bacteria)
yfhB,cardiolipin biosynthesis III
yfhB,cardiolipin biosynthesis I
plsB,CDP-diacylglycerol biosynthesis II
plsB,superpathway of phospholipid biosynthesis I (bacteria)
plsB,CDP-diacylglycerol biosynthesis I
fabB,biotin biosynthesis I
fabB,8-amino-7-oxononanoate biosynthesis I
fabB,palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)
fabB,superpathway of unsaturated fatty acids biosynthesis (E. coli)
fabB,(5Z)-dodecenoate biosynthesis I
fabB,fatty acid biosynthesis initiation II
fabB,palmitate biosynthesis II (bacteria and plant cytoplasm)
fabB,fatty acid elongation -- saturated
fabB,superpathway of fatty acid biosynthesis I (E. coli)
fabB,superpathway of fatty acid biosynthesis initiation (E. coli)
fabB,fatty acid biosynthesis initiation III
fabI,cis-vaccenate biosynthesis
fabI,(5Z)-dodecenoate biosynthesis I
fabI,superpathway of unsaturated fatty acids biosynthesis (E. coli)
fabI,palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)
fabI,biotin biosynthesis I
fabI,8-amino-7-oxononanoate biosynthesis I
fabI,palmitate biosynthesis II (bacteria and plant cytoplasm)
fabI,superpathway of fatty acid biosynthesis I (E. coli)
fabI,fatty acid elongation -- saturated
fabG,cis-vaccenate biosynthesis
fabG,fatty acid elongation -- saturated
fabG,superpathway of fatty acid biosynthesis I (E. coli)
fabG,(5Z)-dodecenoate biosynthesis I
fabG,superpathway of unsaturated fatty acids biosynthesis (E. coli)
fabG,palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)
fabG,biotin biosynthesis I
fabG,8-amino-7-oxononanoate biosynthesis I
fabG,palmitate biosynthesis II (bacteria and plant cytoplasm)
acpT,superpathway of chorismate metabolism
acpT,enterobactin biosynthesis
acpT,acyl carrier protein metabolism
accC,biotin-carboxyl carrier protein assembly
fabG,biotin-carboxyl carrier protein assembly
cfa,cyclopropane fatty acid (CFA) biosynthesis
acpS,superpathway of chorismate metabolism
acpS,enterobactin biosynthesis
acpS,acyl carrier protein metabolism
plsC,CDP-diacylglycerol biosynthesis II
plsC,superpathway of phospholipid biosynthesis I (bacteria)
plsC,CDP-diacylglycerol biosynthesis I
cdsA,superpathway of phospholipid biosynthesis I (bacteria)
cdsA,CDP-diacylglycerol biosynthesis II
cdsA,CDP-diacylglycerol biosynthesis I
fabZ,biotin biosynthesis I
fabZ,8-amino-7-oxononanoate biosynthesis I
fabZ,palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)
fabZ,(5Z)-dodecenoate biosynthesis I
fabZ,superpathway of unsaturated fatty acids biosynthesis (E. coli)
fabZ,cis-vaccenate biosynthesis
fabZ,palmitate biosynthesis II (bacteria and plant cytoplasm)
fabZ,superpathway of fatty acid biosynthesis I (E. coli)
fabZ,fatty acid elongation -- saturated
fabF,superpathway of unsaturated fatty acids biosynthesis (E. coli)
fabF,cis-vaccenate biosynthesis
fabF,superpathway of fatty acid biosynthesis initiation (E. coli)
fabF,fatty acid biosynthesis initiation II
fabF,fatty acid biosynthesis initiation III
fabF,palmitate biosynthesis II (bacteria and plant cytoplasm)
fabF,superpathway of fatty acid biosynthesis I (E. coli)
fabF,fatty acid elongation -- saturated
fabH,fatty acid biosynthesis initiation (bacteria and plants)
fabH,superpathway of fatty acid biosynthesis I (E. coli)
fabH,superpathway of fatty acid biosynthesis initiation (E. coli)
fabH,fatty acid biosynthesis initiation II
accA,superpathway of fatty acid biosynthesis I (E. coli)
accA,superpathway of fatty acid biosynthesis initiation (E. coli)
accA,biotin-carboxyl carrier protein assembly
accA,fatty acid biosynthesis initiation (bacteria and plants)
fabA,fatty acid elongation -- saturated
fabA,superpathway of fatty acid biosynthesis I (E. coli)
fabA,superpathway of unsaturated fatty acids biosynthesis (E. coli)
fabA,(5Z)-dodecenoate biosynthesis I
accD,superpathway of fatty acid biosynthesis I (E. coli)
usg,superpathway of fatty acid biosynthesis I (E. coli)
